instance,variant,seed,seed_idx,n_customers,n_vehicles,bks_distance,n_served,service_rate,total_co2_kg,makespan,total_distance,runtime_s
C101,Full,0,0,100,25,828.9,100,1.0,177.82188440588246,1144.3605551275464,4098.894826609852,572.0110037326813
C101,Full,200,1,100,25,828.9,100,1.0,228.75298197408543,1144.3605551275464,4791.4892391893045,221.99141550064087
C101,Full,400,2,100,25,828.9,100,1.0,193.75329751482383,1144.3605551275464,4213.836545922266,497.1691689491272
C201,Full,3,0,100,25,589.1,100,1.0,226.7843550720364,3091.483321838944,4809.3707175566215,805.6916282176971
C201,Full,203,1,100,25,589.1,100,1.0,232.62416115312053,3209.4123105625617,4809.652053100241,658.2315189838409
C201,Full,403,2,100,25,589.1,100,1.0,250.1676924967433,3209.4123105625617,4801.698278974349,471.2002239227295
R101,Full,1,0,100,25,1645.9,100,1.0,162.89040096889795,198.4049691346264,3793.430588352824,503.3113324642181
R101,Full,201,1,100,25,1645.9,100,1.0,160.80054825908022,210.1811077027628,3844.6110713029,629.1314144134521
R101,Full,401,2,100,25,1645.9,100,1.0,170.01404732669909,210.1811077027628,3768.04582747658,519.9147942066193
RC101,Full,2,0,100,25,1696.9,100,1.0,279.4702243272258,202.1523154621173,5152.544455307791,536.1915349960327
RC101,Full,202,1,100,25,1696.9,100,1.0,277.4509124113624,190.39293765408777,5265.592091642939,450.06378197669983
RC101,Full,402,2,100,25,1696.9,100,1.0,275.47926863318725,202.1523154621173,4927.285000126774,447.8685109615326
C101,A1-NoGAT,0,0,100,25,828.9,100,1.0,166.6000470197295,1144.3605551275464,4120.511957839912,1655.881150484085
C101,A1-NoGAT,200,1,100,25,828.9,100,1.0,134.50572885491485,1087.316227766017,3879.084655493616,2896.8694446086884
C101,A1-NoGAT,400,2,100,25,828.9,100,1.0,133.73870447670478,1091.384187454246,3763.9722048371295,2297.685456752777
C201,A1-NoGAT,3,0,100,25,589.1,100,1.0,270.45532371460894,3209.4123105625617,5131.021481196013,2011.1237123012545
C201,A1-NoGAT,203,1,100,25,589.1,100,1.0,176.42625223088476,3187.486621002424,4361.2021406672775,2322.7845783233643
C201,A1-NoGAT,403,2,100,25,589.1,100,1.0,207.15466449182728,3209.4123105625617,4518.347955237482,2119.1414818763733
R101,A1-NoGAT,1,0,100,25,1645.9,100,1.0,166.76845864574787,210.1811077027628,3969.736087786281,2194.976471185684
R101,A1-NoGAT,201,1,100,25,1645.9,100,1.0,143.39156778646077,210.1811077027628,3725.989136355204,1880.3656508922577
R101,A1-NoGAT,401,2,100,25,1645.9,100,1.0,176.3585579675171,203.3305384426568,3977.283581461046,2009.819393157959
C101,A2-FixedEnt,0,0,100,25,828.9,11,0.11,32.78120047393096,822.26,583.3189616540067,39.2761824131012
C101,A2-FixedEnt,200,1,100,25,828.9,100,1.0,188.525189031997,1087.316227766017,4367.046981297069,245.94358229637143
C101,A2-FixedEnt,400,2,100,25,828.9,100,1.0,192.13528227679333,1144.3605551275464,4532.193827667764,322.7230975627899
C201,A2-FixedEnt,3,0,100,25,589.1,100,1.0,220.2505534879005,3209.4123105625617,4235.562519990155,292.6139802932739
C201,A2-FixedEnt,203,1,100,25,589.1,100,1.0,237.45196455355867,3209.4123105625617,4704.253479035084,162.62059354782104
C201,A2-FixedEnt,403,2,100,25,589.1,100,1.0,190.0653867789591,3209.4123105625617,4441.0449069527,323.09377360343933
R101,A2-FixedEnt,1,0,100,25,1645.9,100,1.0,140.80277626203693,210.18110770276277,3786.82326345146,137.42498588562012
R101,A2-FixedEnt,201,1,100,25,1645.9,100,1.0,182.38999347795937,210.18110770276277,4047.143785792625,196.18954610824585
R101,A2-FixedEnt,401,2,100,25,1645.9,100,1.0,135.3797200650882,210.18110770276277,3654.6064939526495,197.48028564453125
RC101,A2-FixedEnt,2,0,100,25,1696.9,100,1.0,294.62194840269376,202.1523154621173,5461.769186084268,244.0535798072815
RC101,A2-FixedEnt,202,1,100,25,1696.9,100,1.0,270.63782511950865,202.1523154621173,5255.86341594134,207.44799542427063
RC101,A2-FixedEnt,402,2,100,25,1696.9,100,1.0,244.95511242652896,202.1523154621173,5073.72921711753,244.20164132118225
C101,A3-NoCritic,0,0,100,25,828.9,100,1.0,193.95408021928807,1004.2039607805438,4180.155096026877,429.419563293457
C101,A3-NoCritic,200,1,100,25,828.9,100,1.0,179.01379511430898,1144.3605551275464,4277.093599423028,423.3490777015686
C101,A3-NoCritic,400,2,100,25,828.9,100,1.0,223.39860801571348,1144.3605551275464,4688.87255155102,409.8157343864441
C201,A3-NoCritic,3,0,100,25,589.1,100,1.0,215.08617620889345,3209.4123105625617,4574.805495150464,421.76489782333374
C201,A3-NoCritic,203,1,100,25,589.1,98,0.98,150.44778742352818,3209.0,2940.546522081981,351.17439246177673
C201,A3-NoCritic,403,2,100,25,589.1,100,1.0,184.93522249201308,3187.486621002424,4109.916616360239,270.04915142059326
R101,A3-NoCritic,1,0,100,25,1645.9,100,1.0,160.95742357573857,195.4808326112069,3721.791985645018,359.49138474464417
R101,A3-NoCritic,201,1,100,25,1645.9,100,1.0,183.7210971001064,210.18110770276277,3985.4204743833297,216.51450753211972
R101,A3-NoCritic,401,2,100,25,1645.9,100,1.0,161.53739080128432,210.18110770276277,3848.439202641769,454.6072859764099
RC101,A3-NoCritic,2,0,100,25,1696.9,100,1.0,299.8422368538526,202.1523154621173,4978.994371500194,353.977543592453
RC101,A3-NoCritic,202,1,100,25,1696.9,100,1.0,306.0168531166249,202.1523154621173,5446.443436054175,318.694593667984
RC101,A3-NoCritic,402,2,100,25,1696.9,100,1.0,332.5735115657526,202.1523154621173,5388.470265217738,525.959769487381
C101,A4-NoMasks,0,0,100,25,828.9,100,1.0,212.1140846315364,1091.384187454246,4522.9301230438405,191.60953450202945
C101,A4-NoMasks,200,1,100,25,828.9,100,1.0,199.66510447372167,1091.384187454246,4562.723491117452,233.43337655067444
C101,A4-NoMasks,400,2,100,25,828.9,100,1.0,178.29601749414118,1144.3605551275464,4488.10243571638,173.34540033340454
C201,A4-NoMasks,3,0,100,25,589.1,100,1.0,224.5349904012841,3209.4123105625617,4898.01560667107,148.6916425228119
C201,A4-NoMasks,203,1,100,25,589.1,100,1.0,224.89093752410784,3209.4123105625617,4931.974099385032,145.67653942108154
C201,A4-NoMasks,403,2,100,25,589.1,100,1.0,207.79041009018945,3299.6835981584595,4727.691180425723,131.99149131774902
R101,A4-NoMasks,1,0,100,25,1645.9,100,1.0,180.1671954831694,210.18110770276277,4142.793466579062,173.9737913608551
R101,A4-NoMasks,201,1,100,25,1645.9,100,1.0,192.26592571857796,210.18110770276277,4190.698293551553,153.05743598937988
R101,A4-NoMasks,401,2,100,25,1645.9,100,1.0,187.4525662002416,210.18110770276277,4137.698667921285,158.83504676818848
RC101,A4-NoMasks,2,0,100,25,1696.9,100,1.0,280.8204114364493,202.1523154621173,5545.869638906879,148.72844624519348
RC101,A4-NoMasks,202,1,100,25,1696.9,100,1.0,300.7944039580474,202.1523154621173,5571.624733604952,157.63314175605774
RC101,A4-NoMasks,402,2,100,25,1696.9,100,1.0,276.7623007816353,202.1523154621173,5364.53479117431,145.30589962005615
