instance,class,method,n_customers,service_rate_raw,service_rate_feasible,n_served_raw,n_served_feasible,makespan
C101,C,NNH,100,0.67,0.67,67.0,67.0,1144.3605551275464
C101,C,CWS,100,1.0,0.14,100.0,14.0,2224.964273930397
C101,C,ALNS,100,0.67,0.67,67.0,67.0,1182.4605551275465
C101,C,AM,100,0.64,0.64,64.0,64.0,1144.3605551275464
C101,C,POMO,100,0.63,0.63,63.0,63.0,1144.3605551275464
C101,C,TD-Split,100,0.67,0.67,67.0,67.0,1144.3605551275464
C101,C,GAT-MARL,100,1.0,1.0,100.0,100.0,1144.3606
C102,C,NNH,100,0.83,0.83,83.0,83.0,1187.4644577509937
C102,C,CWS,100,1.0,0.25,100.0,25.0,2224.964273930397
C102,C,ALNS,100,0.83,0.83,83.0,83.0,1181.4005551275463
C102,C,AM,100,0.8,0.8,80.0,80.0,1187.4644577509937
C102,C,POMO,100,0.78,0.78,78.0,78.0,1187.4644577509937
C102,C,TD-Split,100,0.83,0.83,83.0,83.0,1187.4644577509937
C102,C,GAT-MARL,100,1.0,1.0,100.0,100.0,1006.3162
C103,C,NNH,100,0.93,0.93,93.0,93.0,1187.3140856170714
C103,C,CWS,100,1.0,0.39,100.0,39.0,2088.431855279964
C103,C,ALNS,100,0.93,0.93,93.0,93.0,1186.2339387202533
C103,C,AM,100,0.92,0.92,92.0,92.0,1187.3140856170714
C103,C,POMO,100,0.92,0.92,92.0,92.0,1187.3140856170714
C103,C,TD-Split,100,0.93,0.93,93.0,93.0,1187.3140856170714
C103,C,GAT-MARL,100,1.0,1.0,100.0,100.0,994.1383
C104,C,NNH,100,0.97,0.97,97.0,97.0,1186.8472135955
C104,C,CWS,100,1.0,0.73,100.0,73.0,1554.2480422191911
C104,C,ALNS,100,0.97,0.97,97.0,97.0,1179.9381108091684
C104,C,AM,100,0.97,0.97,97.0,97.0,1186.8472135955
C104,C,POMO,100,0.97,0.97,97.0,97.0,1186.8472135955
C104,C,TD-Split,100,0.97,0.97,97.0,97.0,1186.8472135955
C104,C,GAT-MARL,100,1.0,1.0,100.0,100.0,1184.9732
C105,C,NNH,100,0.71,0.71,71.0,71.0,1072.3605551275464
C105,C,CWS,100,1.0,0.15,100.0,15.0,2152.964273930397
C105,C,ALNS,100,0.71,0.71,71.0,71.0,1158.4240466684278
C105,C,AM,100,0.7,0.7,70.0,70.0,1072.3605551275464
C105,C,POMO,100,0.68,0.68,68.0,68.0,1072.3605551275464
C105,C,TD-Split,100,0.72,0.72,72.0,72.0,1072.3605551275464
C105,C,GAT-MARL,100,1.0,1.0,100.0,100.0,1072.3606
C106,C,NNH,100,0.72,0.72,72.0,72.0,1098.7265323096185
C106,C,CWS,100,1.0,0.18,100.0,18.0,2056.431855279964
C106,C,ALNS,100,0.72,0.72,72.0,72.0,1148.7650905827943
C106,C,AM,100,0.72,0.72,72.0,72.0,1098.7265323096185
C106,C,POMO,100,0.7,0.7,70.0,70.0,1098.7265323096185
C106,C,TD-Split,100,0.71,0.71,71.0,71.0,1098.7265323096185
C106,C,GAT-MARL,100,1.0,1.0,100.0,100.0,1007.3842
C107,C,NNH,100,0.78,0.78,78.0,78.0,1037.3605551275464
C107,C,CWS,100,1.0,0.15,100.0,15.0,2117.9642739303968
C107,C,ALNS,100,0.78,0.78,78.0,78.0,1203.13210917278
C107,C,AM,100,0.78,0.78,78.0,78.0,1037.3605551275464
C107,C,POMO,100,0.71,0.71,71.0,71.0,1037.3605551275464
C107,C,TD-Split,100,0.79,0.79,79.0,79.0,1037.3605551275464
C107,C,GAT-MARL,100,1.0,1.0,100.0,100.0,1034.3842
C108,C,NNH,100,0.86,0.86,86.0,86.0,1027.7634413615167
C108,C,CWS,100,1.0,0.23,100.0,23.0,2015.431855279964
C108,C,ALNS,100,0.86,0.86,86.0,86.0,1204.9018419293675
C108,C,AM,100,0.85,0.85,85.0,85.0,1027.7634413615167
C108,C,POMO,100,0.79,0.79,79.0,79.0,1027.7634413615167
C108,C,TD-Split,100,0.85,0.85,85.0,85.0,1027.7634413615167
C108,C,GAT-MARL,100,1.0,1.0,100.0,100.0,937.3162
C109,C,NNH,100,0.96,0.96,96.0,96.0,1034.935788788929
C109,C,CWS,100,1.0,0.25,100.0,25.0,1937.9642739303968
C109,C,ALNS,100,0.96,0.96,96.0,96.0,1186.9650905827943
C109,C,AM,100,0.96,0.96,96.0,96.0,1042.333722471978
C109,C,POMO,100,0.95,0.95,95.0,95.0,1034.935788788929
C109,C,TD-Split,100,0.98,0.98,98.0,98.0,1034.935788788929
C109,C,GAT-MARL,100,1.0,1.0,100.0,100.0,954.4827
C201,C,NNH,100,0.98,0.98,98.0,98.0,3209.4123105625617
C201,C,CWS,100,1.0,0.06,100.0,6.0,6251.449817795575
C201,C,ALNS,100,0.98,0.98,98.0,98.0,3277.609287718597
C201,C,AM,100,0.98,0.98,98.0,98.0,3209.4123105625617
C201,C,POMO,100,0.98,0.98,98.0,98.0,3209.4123105625617
C201,C,TD-Split,100,0.98,0.98,98.0,98.0,3209.4123105625617
C201,C,GAT-MARL,100,0.81,0.81,81.0,81.0,3209.0
C202,C,NNH,100,1.0,1.0,100.0,100.0,3278.363471710449
C202,C,CWS,100,1.0,0.28,100.0,28.0,6251.449817795575
C202,C,ALNS,100,1.0,1.0,100.0,100.0,3277.609287718597
C202,C,AM,100,1.0,1.0,100.0,100.0,3278.363471710449
C202,C,POMO,100,1.0,1.0,100.0,100.0,3299.5472135955
C202,C,TD-Split,100,1.0,1.0,100.0,100.0,3278.363471710449
C202,C,GAT-MARL,100,0.99,0.99,99.0,99.0,3278.1202
C203,C,NNH,100,1.0,1.0,100.0,100.0,3277.713918980941
C203,C,CWS,100,1.0,0.42,100.0,42.0,6251.449817795575
C203,C,ALNS,100,1.0,1.0,100.0,100.0,3367.649333818881
C203,C,AM,100,1.0,1.0,100.0,100.0,3277.713918980941
C203,C,POMO,100,1.0,1.0,100.0,100.0,3277.713918980941
C203,C,TD-Split,100,1.0,1.0,100.0,100.0,3277.713918980941
C203,C,GAT-MARL,100,1.0,1.0,100.0,100.0,3340.1746
C204,C,NNH,100,1.0,1.0,100.0,100.0,3277.713918980941
C204,C,CWS,100,1.0,0.55,100.0,55.0,6251.449817795575
C204,C,ALNS,100,1.0,1.0,100.0,100.0,3367.649333818881
C204,C,AM,100,1.0,1.0,100.0,100.0,3277.713918980941
C204,C,POMO,100,1.0,1.0,100.0,100.0,3277.713918980941
C204,C,TD-Split,100,1.0,1.0,100.0,100.0,3277.713918980941
C204,C,GAT-MARL,100,1.0,1.0,100.0,100.0,3354.4545
C205,C,NNH,100,1.0,1.0,100.0,100.0,3084.1954228082905
C205,C,CWS,100,1.0,0.08,100.0,8.0,6109.449817795576
C205,C,ALNS,100,1.0,1.0,100.0,100.0,3225.841456587977
C205,C,AM,100,1.0,1.0,100.0,100.0,3084.012643803354
C205,C,POMO,100,0.95,0.95,95.0,95.0,3084.516097123472
C205,C,TD-Split,100,1.0,1.0,100.0,100.0,3084.1954228082905
C205,C,GAT-MARL,100,0.97,0.97,97.0,97.0,3139.197
C206,C,NNH,100,1.0,1.0,100.0,100.0,3066.486621002424
C206,C,CWS,100,1.0,0.11,100.0,11.0,6130.449817795576
C206,C,ALNS,100,1.0,1.0,100.0,100.0,3345.644749537945
C206,C,AM,100,1.0,1.0,100.0,100.0,3066.486621002424
C206,C,POMO,100,0.98,0.98,98.0,98.0,3066.486621002424
C206,C,TD-Split,100,1.0,1.0,100.0,100.0,3066.486621002424
C206,C,GAT-MARL,100,0.99,0.99,99.0,99.0,3156.644
C207,C,NNH,100,1.0,1.0,100.0,100.0,3066.486621002424
C207,C,CWS,100,1.0,0.21,100.0,21.0,6130.449817795576
C207,C,ALNS,100,1.0,1.0,100.0,100.0,3242.685548651033
C207,C,AM,100,1.0,1.0,100.0,100.0,3066.486621002424
C207,C,POMO,100,1.0,1.0,100.0,100.0,3066.486621002424
C207,C,TD-Split,100,1.0,1.0,100.0,100.0,3066.486621002424
C207,C,GAT-MARL,100,0.99,0.99,99.0,99.0,3066.0
C208,C,NNH,100,1.0,1.0,100.0,100.0,2920.2768282009074
C208,C,CWS,100,1.0,0.32,100.0,32.0,5789.449817795574
C208,C,ALNS,100,1.0,1.0,100.0,100.0,3242.60083886516
C208,C,AM,100,1.0,1.0,100.0,100.0,2919.988510108162
C208,C,POMO,100,1.0,1.0,100.0,100.0,2920.763761031688
C208,C,TD-Split,100,1.0,1.0,100.0,100.0,2920.2768282009074
C208,C,GAT-MARL,100,1.0,1.0,100.0,100.0,3011.3701
R101,R,NNH,100,0.7,0.7,70.0,70.0,210.18110770276277
R101,R,CWS,100,1.0,0.2,100.0,20.0,344.688085034551
R101,R,ALNS,100,0.7,0.7,70.0,70.0,210.18110770276277
R101,R,AM,100,0.68,0.68,68.0,68.0,210.18110770276277
R101,R,POMO,100,0.65,0.65,65.0,65.0,210.18110770276277
R101,R,TD-Split,100,0.84,0.84,84.0,84.0,210.18110770276277
R101,R,GAT-MARL,100,0.82,0.82,82.0,82.0,210.0
R102,R,NNH,100,0.86,0.86,86.0,86.0,210.18110770276277
R102,R,CWS,100,1.0,0.34,100.0,34.0,344.688085034551
R102,R,ALNS,100,0.86,0.86,86.0,86.0,215.53171196648225
R102,R,AM,100,0.87,0.87,87.0,87.0,210.18110770276277
R102,R,POMO,100,0.84,0.84,84.0,84.0,210.18110770276277
R102,R,TD-Split,100,0.94,0.94,94.0,94.0,210.18110770276277
R102,R,GAT-MARL,100,0.9,0.9,90.0,90.0,206.6716
R103,R,NNH,100,0.96,0.96,96.0,96.0,210.18110770276277
R103,R,CWS,100,1.0,0.49,100.0,49.0,344.688085034551
R103,R,ALNS,100,0.96,0.96,96.0,96.0,212.4373731019593
R103,R,AM,100,0.96,0.96,96.0,96.0,210.18110770276277
R103,R,POMO,100,0.93,0.93,93.0,93.0,210.18110770276277
R103,R,TD-Split,100,1.0,1.0,100.0,100.0,210.18110770276277
R103,R,GAT-MARL,100,1.0,1.0,100.0,100.0,213.7229
R104,R,NNH,100,1.0,1.0,100.0,100.0,210.18110770276277
R104,R,CWS,100,1.0,0.79,100.0,79.0,263.6582057639946
R104,R,ALNS,100,1.0,1.0,100.0,100.0,215.4817913232166
R104,R,AM,100,1.0,1.0,100.0,100.0,210.18110770276277
R104,R,POMO,100,1.0,1.0,100.0,100.0,210.18110770276277
R104,R,TD-Split,100,1.0,1.0,100.0,100.0,210.18110770276277
R104,R,GAT-MARL,100,1.0,1.0,100.0,100.0,215.6229
R105,R,NNH,100,0.89,0.89,89.0,89.0,200.76718454015185
R105,R,CWS,100,1.0,0.25,100.0,25.0,330.688085034551
R105,R,ALNS,100,0.89,0.89,89.0,89.0,196.082277912005
R105,R,AM,100,0.84,0.84,84.0,84.0,200.76718454015185
R105,R,POMO,100,0.83,0.83,83.0,83.0,200.76718454015185
R105,R,TD-Split,100,0.95,0.95,95.0,95.0,200.76718454015185
R105,R,GAT-MARL,100,0.92,0.92,92.0,92.0,190.0
R106,R,NNH,100,0.99,0.99,99.0,99.0,200.74676547603124
R106,R,CWS,100,1.0,0.44,100.0,44.0,330.688085034551
R106,R,ALNS,100,0.99,0.99,99.0,99.0,207.97195059585653
R106,R,AM,100,0.9,0.9,90.0,90.0,200.74676547603124
R106,R,POMO,100,0.9,0.9,90.0,90.0,200.74676547603124
R106,R,TD-Split,100,1.0,1.0,100.0,100.0,200.74676547603124
R106,R,GAT-MARL,100,1.0,1.0,100.0,100.0,201.7108
R107,R,NNH,100,1.0,1.0,100.0,100.0,200.81638768813696
R107,R,CWS,100,1.0,0.6,100.0,60.0,330.688085034551
R107,R,ALNS,100,1.0,1.0,100.0,100.0,210.48701329856223
R107,R,AM,100,1.0,1.0,100.0,100.0,200.6433241275258
R107,R,POMO,100,0.98,0.98,98.0,98.0,200.6433241275258
R107,R,TD-Split,100,1.0,1.0,100.0,100.0,200.7551009357609
R107,R,GAT-MARL,100,1.0,1.0,100.0,100.0,211.2042
R108,R,NNH,100,1.0,1.0,100.0,100.0,200.7551009357609
R108,R,CWS,100,1.0,0.85,100.0,85.0,247.6582057639946
R108,R,ALNS,100,1.0,1.0,100.0,100.0,215.660813865894
R108,R,AM,100,1.0,1.0,100.0,100.0,200.6433241275258
R108,R,POMO,100,1.0,1.0,100.0,100.0,200.6433241275258
R108,R,TD-Split,100,1.0,1.0,100.0,100.0,200.7551009357609
R108,R,GAT-MARL,100,1.0,1.0,100.0,100.0,198.3732
R109,R,NNH,100,1.0,1.0,100.0,100.0,178.05605947435697
R109,R,CWS,100,1.0,0.35,100.0,35.0,285.688085034551
R109,R,ALNS,100,1.0,1.0,100.0,100.0,192.8439111567112
R109,R,AM,100,1.0,1.0,100.0,100.0,178.05605947435697
R109,R,POMO,100,1.0,1.0,100.0,100.0,178.05605947435697
R109,R,TD-Split,100,1.0,1.0,100.0,100.0,178.05605947435697
R109,R,GAT-MARL,100,1.0,1.0,100.0,100.0,171.1434
R110,R,NNH,100,1.0,1.0,100.0,100.0,171.7010600716876
R110,R,CWS,100,1.0,0.48,100.0,48.0,258.3821724317313
R110,R,ALNS,100,1.0,1.0,100.0,100.0,196.8278571550977
R110,R,AM,100,1.0,1.0,100.0,100.0,171.4911766474437
R110,R,POMO,100,1.0,1.0,100.0,100.0,171.4911766474437
R110,R,TD-Split,100,1.0,1.0,100.0,100.0,170.77864503306856
R110,R,GAT-MARL,100,1.0,1.0,100.0,100.0,174.2043
R111,R,NNH,100,1.0,1.0,100.0,100.0,199.93866800234264
R111,R,CWS,100,1.0,0.6,100.0,60.0,285.688085034551
R111,R,ALNS,100,1.0,1.0,100.0,100.0,189.50264194344848
R111,R,AM,100,1.0,1.0,100.0,100.0,199.93866800234264
R111,R,POMO,100,1.0,1.0,100.0,100.0,198.74676547603124
R111,R,TD-Split,100,1.0,1.0,100.0,100.0,198.74676547603124
R111,R,GAT-MARL,100,1.0,1.0,100.0,100.0,200.7122
